Title,Genres,Score,Members
Bonobono (TV 2016),"

Comedy

Slice of Life

","
6.39
        ","
3.2K
        "
Ninjala (TV),"

Action

","
5.53
        ","
3.0K
        "
Himitsu no AiPri,"

","
6.19
        ","
3.0K
        "
Shikaru Neko,"

Slice of Life

","
N/A
        ","
2.4K
        "
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,"

Comedy

Slice of Life

","
N/A
        ","
1.3K
        "
Shiawase Haitatsu Taneko,"

Comedy

","
N/A
        ","
965
        "
Manul no Yuube,"

Slice of Life

","
N/A
        ","
639
        "
Yongisanda,"

Comedy

Fantasy

","
N/A
        ","
478
        "
Jochum,"

Slice of Life

","
N/A
        ","
456
        "
Shin Nippon History,"

Comedy

","
N/A
        ","
350
        "
Shuwawan!,"

Slice of Life

","
N/A
        ","
279
        "
Xin Xiyou Lixian Ji,"

Action

Adventure

Fantasy

","
N/A
        ","
222
        "
Youkoso Ninchishou Sekai e,"

Adventure

Slice of Life

","
N/A
        ","
212
        "
Ohayou! Unko-sensei,"

Comedy

","
N/A
        ","
194
        "
Warau Red List,"

Comedy

","
N/A
        ","
162
        "
